Date,Market Cap,Volume,Open,Close
9/10/2024,1126840069632,35655419448,57049,57624
9/9/2024,1085390277574,18644823662,54792,57049
9/8/2024,1068954727890,17048448412,54151,54792
9/7/2024,1065462041081,50260816557,53923,54151
9/6/2024,1109212553022,30005773446,56132,53923
9/5/2024,1144983177152,37550380697,57988,56132
9/4/2024,1137361604371,26829983370,57505,57988
9/3/2024,1168410293916,28012782291,59109,57505
9/2/2024,1133133027661,25465621878,57358,59109
9/1/2024,1164278309271,11399086336,58960,57358
8/31/2024,1168247205701,44038496615,59156,58960
8/30/2024,1171762256044,32563333957,59352,59156
8/29/2024,1166032395736,42018989572,59015,59352
8/28/2024,1176762244308,38131727428,59527,59015
8/27/2024,1242487823611,17894692681,62923,59527
8/26/2024,1269291077270,17875230147,64266,62923
8/25/2024,1264961887999,22029153446,64157,64266
8/24/2024,1261916434075,45038665759,64050,64157
8/23/2024,1192308382714,28170302506,60388,64050
8/22/2024,1207099049403,32960965011,61145,60388
8/21/2024,1166088863323,31470716091,59060,61145
8/20/2024,1176063402362,24031330179,59575,59060
8/19/2024,1156217205294,17656027564,58438,59575
8/18/2024,1173270497431,12467437134,59431,58438
8/17/2024,1162716063850,30368238897,58882,59431
8/16/2024,1137141836826,33490251842,57624,58882
8/15/2024,1159479277228,28079911398,58739,57624
8/14/2024,1195798013191,31955576195,60601,58739
8/13/2024,1171441797234,39403296386,59350,60601
8/12/2024,1159146815398,21715994493,58804,59350
8/11/2024,1201818989571,13418919090,60888,58804
8/10/2024,1198300504959,33804208928,60913,60888
8/9/2024,1218342891279,49201548320,61859,60913
8/8/2024,1088566703585,41605918903,55100,61859
8/7/2024,1104019419317,52620100833,55960,55100
8/6/2024,1064889039014,1.20E+11,53956,55960
8/5/2024,1147854905922,33664501541,58006,53956
8/4/2024,1197962170719,32885545024,60739,58006
8/3/2024,1211854070245,39004321616,61407,60739
8/2/2024,1289157073528,38911302448,65358,61407
8/1/2024,1275401473742,31403681581,64680,65358
7/31/2024,1306758338818,28892376511,66219,64680
7/30/2024,1317581413497,42529043667,66770,66219
7/29/2024,1346263382370,17175244020,68242,66770
7/28/2024,1342889431799,30976752617,68055,68242
7/27/2024,1339927966899,30821370069,67920,68055
7/26/2024,1297125144853,35836896136,65750,67920
7/25/2024,1290447066028,28680123270,65404,65750
7/24/2024,1300963591116,36100536095,65942,65404
7/23/2024,1333201881092,43157593652,67608,65942
7/22/2024,1343346742483,27078771828,68088,67608
7/21/2024,1325658979468,17353396168,67206,68088
7/20/2024,1316147398344,36994610752,66690,67206
7/19/2024,1261456293182,25976148879,63960,66690
7/18/2024,1266016458007,33459451714,64136,63960
7/17/2024,1284899538175,40914441633,65162,64136
7/16/2024,1277806993831,37810068493,64835,65162
7/15/2024,1204059167829,21295520564,60942,64835
7/14/2024,1168371787726,16765547593,59153,60942
7/13/2024,1141567375406,25504482306,57899,59153
7/12/2024,1130276546536,29196653599,57388,57899
7/11/2024,1139350681823,25987656347,57704,57388
7/10/2024,1144794688187,28413854577,57988,57704
7/9/2024,1117615464652,41614266908,56665,57988
7/8/2024,1100452083928,20211914621,55880,56665
7/7/2024,1147176330416,21293913671,58230,55880
7/6/2024,1118490666778,60081357583,56740,58230
7/5/2024,1130121668991,43112005395,57189,56740
7/4/2024,1186937170315,30348692427,60245,57189
7/3/2024,1222901857941,18100530102,62043,60245
7/2/2024,1238799172480,25573074911,62820,62043
7/1/2024,1236676710888,17373592048,62734,62820
6/30/2024,1199792912681,11435110884,60864,62734
6/29/2024,1189569860171,24399416695,60317,60864
6/28/2024,1213931985720,18855138893,61563,60317
6/27/2024,1198205485428,22908540919,60750,61563
6/26/2024,1217935012740,21105562262,61770,60750
6/25/2024,1188964670369,42036553107,60363,61770
6/24/2024,1248188877658,10748270932,63221,60363
6/23/2024,1266336092891,6340606686,64240,63221
6/22/2024,1263258746635,24694310199,64072,64240
6/21/2024,1279317116821,26001551475,64845,64072
6/20/2024,1278699763341,21680698981,64907,64845
6/19/2024,1282295865979,41386972050,65109,64907
6/18/2024,1309329377373,29409728999,66460,65109
6/17/2024,1313849391757,12650130204,66616,66460
6/16/2024,1304370314918,13472726245,66190,66616
6/15/2024,1301949410096,27966992833,66011,66190
6/14/2024,1317161415435,29654777884,66700,66011
6/13/2024,1345244310607,36027809551,68225,66700
6/12/2024,1327665028180,38513044383,67329,68225
6/11/2024,1369378888544,19335866774,69493,67329
6/10/2024,1372556186705,10461044041,69654,69493
6/9/2024,1366065699664,10688301508,69315,69654
6/8/2024,1366366925857,18597495570,69325,69315
6/7/2024,1394881646978,23612879690,70760,69325
6/6/2024,1400297735227,32560403315,71185,70760
6/5/2024,1390853496950,31561053725,70600,71185
6/4/2024,1355484820107,29862293750,68808,70600
6/3/2024,1335930570690,16137350588,67740,68808
6/2/2024,1333649555935,10724053325,67704,67740
6/1/2024,1331606411823,19685305476,67475,67704
5/31/2024,1346147846430,25344376898,68372,67475
5/30/2024,1331734029835,24320692138,67577,68372
5/29/2024,1347542673428,31278122196,68317,67577
5/28/2024,1366931305389,18983806932,69367,68317
5/27/2024,1349351520129,11243743771,68509,69367
5/26/2024,1363997851295,15929396750,69268,68509
5/25/2024,1350764328536,28127411967,68540,69268
5/24/2024,1336347300306,39235702119,67906,68540
5/23/2024,1362228629449,31059440496,69181,67906
5/22/2024,1382275470798,41105056578,70190,69181
5/21/2024,1406288649447,35923476641,71430,70190
5/20/2024,1304727108598,9072734600,66253,71430
5/19/2024,1319928522882,13025487676,66913,66253
5/18/2024,1319238394090,25397793919,67053,66913
5/17/2024,1286278919684,29114585833,65261,67053
5/16/2024,1307048849176,38101793065,66221,65261
5/15/2024,1212998352772,21581895152,61569,66221
5/14/2024,1238994152713,27740460084,62879,61569
5/13/2024,1211277523449,13045696109,61507,62879
5/12/2024,1197102943502,12120618802,60777,61507
5/11/2024,1199393711200,23987518755,60888,60777
5/10/2024,1240910691254,25837724248,63149,60888
5/9/2024,1203918522477,20303831135,61216,63149
5/8/2024,1229336706399,19925137721,62363,61216
5/7/2024,1244417948316,17917770174,63172,62363
5/6/2024,1259667234461,18115695040,64010,63172
5/5/2024,1257549583083,20510614461,63820,64010
5/4/2024,1239817041555,33591665812,62839,63820
5/3/2024,1164721402399,28255509745,59135,62839
5/2/2024,1151677489315,51109380172,58298,59135
5/1/2024,1197773959986,39533113322,60749,58298
4/30/2024,1257159131219,27242983698,63798,60749
4/29/2024,1240724751366,16180294651,63030,63798
4/28/2024,1249495302303,19190483386,63517,63030
4/27/2024,1255539337969,23302057198,63802,63517
4/26/2024,1269387456068,24705345526,64486,63802
4/25/2024,1265541377861,30939903322,64280,64486
4/24/2024,1306843409278,23232230785,66407,64280
4/23/2024,1317058642854,27748586313,66842,66407
4/22/2024,1279763566407,19592118541,64936,66842
4/21/2024,1277940837360,16601830591,64894,64936
4/20/2024,1263308149914,52227787324,63989,64894
4/19/2024,1249565911947,35901618166,63462,63989
4/18/2024,1207185042484,41123362076,61329,63462
4/17/2024,1253670904297,42157169474,63721,61329
4/16/2024,1247928896841,42796604938,63431,63721
4/15/2024,1293286386553,40292911693,65753,63431
4/14/2024,1270009515097,49214481480,64405,65753
4/13/2024,1321648247460,43471949726,67252,64405
4/12/2024,1379324055321,30118549150,70107,67252
4/11/2024,1387722485989,38378062633,70528,70107
4/10/2024,1361830648709,36488482039,69159,70528
4/9/2024,1410324678269,33111949671,71624,69159
4/8/2024,1367272232852,17935478429,69402,71624
4/7/2024,1358548956715,19119438139,69001,69402
4/6/2024,1337452583876,35132808696,67979,69001
4/5/2024,1348455954443,37516850710,68542,67979
4/4/2024,1301670235624,35559952962,66124,68542
4/3/2024,1288360536577,45161133992,65440,66124
4/2/2024,1373784286061,36040088989,69786,65440
4/1/2024,1401370211582,19723005998,71247,69786
3/31/2024,1370247487960,16408802302,69702,71247
3/30/2024,1374646886108,25785951735,69919,69702
3/29/2024,1390869723348,30455289338,70710,69919
3/28/2024,1360261687784,41441040888,69436,70710
3/27/2024,1375728580463,36257324509,70082,69436
3/26/2024,1371797489739,44820310273,69939,70082
3/25/2024,1323456466318,28098318940,67311,69939
3/24/2024,1264722355271,25489933246,64286,67311
3/23/2024,1247366367469,42436600224,63509,64286
3/22/2024,1287348061971,48393664548,65536,63509
3/21/2024,1332594162508,70836803715,67819,65536
3/20/2024,1223867418062,80179417876,62133,67819
3/19/2024,1331771923948,51101822567,67709,62133
3/18/2024,1344508983080,47190980587,68425,67709
3/17/2024,1282404282863,49265436013,65292,68425
3/16/2024,1367669237528,81204427005,69498,65292
3/15/2024,1403843488135,63073551322,71420,69498
3/14/2024,1436631290572,51906601044,73098,71420
3/13/2024,1403692914139,64599341551,71467,73098
3/12/2024,1417772589114,66653067166,72131,71467
3/11/2024,1357390358032,36660543917,69076,72131
3/10/2024,1346027264110,21359706191,68508,69076
3/9/2024,1340971395885,63346588227,68315,68508
3/8/2024,1317508010581,48853892626,66945,68315
3/7/2024,1297845751760,73151905042,66146,66945
3/6/2024,1264870242319,96403762013,64292,66146
3/5/2024,1333913436699,74551714626,68187,64292
3/4/2024,1236312176673,27108369390,63053,68187
3/3/2024,1219383305483,25198213831,62068,63053
3/2/2024,1227712629022,36699193361,62427,62068
3/1/2024,1206725326872,67692687247,61298,62427
2/29/2024,1225273849242,87218855804,62559,61298
2/28/2024,1118963733317,51983799587,57004,62559
2/27/2024,1071049856129,35407941476,54478,57004
2/26/2024,1016549456019,15455098216,51752,54478
2/25/2024,1012485917140,15528276124,51553,51752
2/24/2024,999139504636,22637679780,50841,51553
2/23/2024,1007314397269,23733644209,51320,50841
2/22/2024,1018869881156,30624246621,51843,51320
2/21/2024,1026424315286,34499627551,52287,51843
2/20/2024,1016146442772,22555121072,51764,52287
2/19/2024,1023586119011,17025880431,52138,51764
2/18/2024,1015778284419,19851884283,51685,52138
2/17/2024,1024019280535,24850432118,52166,51685
2/16/2024,1020725811640,31991869491,51958,52166
2/15/2024,1017596576730,41805076940,51790,51958
