Date,Market Cap,Volume,Open,Close
11/5/2024,1.20559E+11,28066602616,0.999637,0.99962
11/4/2024,1.20559E+11,34026150129,0.999665,0.999637
11/3/2024,1.20582E+11,27643263707,0.999947,0.999665
11/2/2024,1.205E+11,38751873735,0.999732,0.999947
11/1/2024,1.2031E+11,43300832619,0.998207,0.999732
10/31/2024,1.20381E+11,42080806115,0.999056,0.998207
10/30/2024,1.20283E+11,65278073856,1.001,0.999056
10/29/2024,1.20257E+11,40171891368,0.999331,1.001
10/28/2024,1.20167E+11,22631845269,0.998396,0.999331
10/27/2024,1.20157E+11,33455148036,0.998712,0.998396
10/26/2024,1.20198E+11,50837706477,1,0.998712
10/25/2024,1.20185E+11,42729662208,1,1
10/24/2024,1.20078E+11,48134275137,0.999119,1
10/23/2024,1.20136E+11,31706143249,0.999491,0.999119
10/22/2024,1.20096E+11,62357019647,0.999419,0.999491
10/21/2024,1.20123E+11,38717393907,0.999907,0.999419
10/20/2024,1.20177E+11,28024840566,1,0.999907
10/19/2024,1.20052E+11,52405473185,1,1
10/18/2024,1.19911E+11,51572077913,0.99988,1
10/17/2024,1.20006E+11,44197297540,0.999902,0.99988
10/16/2024,1.1965E+11,73364065302,0.999312,0.999902
10/15/2024,1.19667E+11,66137470414,0.999427,0.999312
10/14/2024,1.19658E+11,22821596027,1,0.999427
10/13/2024,1.19707E+11,31967439286,0.999994,1
10/12/2024,1.19748E+11,20888826246,0.999987,0.999994
10/11/2024,1.19778E+11,48430598135,0.999361,0.999987
10/10/2024,1.1968E+11,48611128630,0.998715,0.999361
10/9/2024,1.19777E+11,49101403616,0.999246,0.998715
10/8/2024,1.19569E+11,59409592889,0.998782,0.999246
10/7/2024,1.1967E+11,26588165980,0.999619,0.998782
10/6/2024,1.19653E+11,23370706989,1,0.999619
10/5/2024,1.19682E+11,50019501600,1,1
10/4/2024,1.19619E+11,55159237990,0.999632,1
10/3/2024,1.19656E+11,60786660024,0.999953,0.999632
10/2/2024,1.19609E+11,87688709414,0.999216,0.999953
10/1/2024,1.19716E+11,60217311693,1,0.999216
9/30/2024,1.19509E+11,35197506321,0.999926,1
9/29/2024,1.19647E+11,23897751077,1.001,0.999926
9/28/2024,1.19482E+11,39597334324,1,1.001
9/27/2024,1.19334E+11,61999678366,1,1
9/26/2024,1.19331E+11,45836124175,1.001,1
9/25/2024,1.19245E+11,53159917924,1,1.001
9/24/2024,1.19225E+11,49208868070,0.99992,1
9/23/2024,1.19142E+11,36455606047,1,0.99992
9/22/2024,1.19132E+11,26859488673,0.999847,1
9/21/2024,1.1909E+11,54981143266,1,0.999847
9/20/2024,1.18889E+11,56647759492,1,1
9/19/2024,1.18957E+11,58478204685,1.002,1
9/18/2024,1.18718E+11,49764092455,1,1.002
9/17/2024,1.18589E+11,49170855407,0.999318,1
9/16/2024,1.18803E+11,29435832527,1.001,0.999318
9/15/2024,1.18621E+11,23864442251,1,1.001
9/14/2024,1.18715E+11,47234088509,1.001,1
9/13/2024,1.184E+11,45211119836,0.999753,1.001
9/12/2024,1.18454E+11,46892204689,0.999856,0.999753
9/11/2024,1.1837E+11,39791627345,1,0.999856
9/10/2024,1.18169E+11,51279937262,0.999537,1
9/9/2024,1.18098E+11,28203740262,0.999248,0.999537
9/8/2024,1.18192E+11,29962549103,1,0.999248
9/7/2024,1.18197E+11,69223960493,1,1
9/6/2024,1.18125E+11,40416688203,0.999541,1
9/5/2024,1.18074E+11,41088575111,1,0.999541
9/4/2024,1.17932E+11,33084781732,0.998101,1
9/3/2024,1.18015E+11,42068207224,0.999975,0.998101
9/2/2024,1.18296E+11,29488213879,1.001,0.999975
9/1/2024,1.1823E+11,20769126183,0.999849,1.001
8/31/2024,1.18222E+11,48813887050,1,0.999849
8/30/2024,1.18173E+11,47011640323,0.999754,1
8/29/2024,1.18136E+11,46053881611,0.99911,0.999754
8/28/2024,1.17955E+11,59445193965,0.999106,0.99911
8/27/2024,1.1787E+11,42087551883,0.999943,0.999106
8/26/2024,1.17926E+11,33123507245,0.999711,0.999943
8/25/2024,1.17976E+11,40007652023,1.001,0.999711
8/24/2024,1.17853E+11,45892281338,1.002,1.001
8/23/2024,1.17412E+11,39760183764,1,1.002
8/22/2024,1.1737E+11,43451629655,1,1
8/21/2024,1.1698E+11,44677155509,0.99993,1
8/20/2024,1.17015E+11,37748045858,1.001,0.99993
8/19/2024,1.1674E+11,29075460610,0.998598,1.001
8/18/2024,1.16867E+11,15180842043,1,0.998598
8/17/2024,1.16733E+11,43714130658,0.999803,1
8/16/2024,1.16521E+11,47577105226,1,0.999803
8/15/2024,1.16191E+11,47621751538,1,1
8/14/2024,1.15769E+11,47503291528,1.001,1
8/13/2024,1.15615E+11,54903256229,1,1.001
8/12/2024,1.1557E+11,36552652812,1.001,1
8/11/2024,1.15683E+11,23762254605,1,1.001
8/10/2024,1.15453E+11,47994841970,1.002,1
8/9/2024,1.1497E+11,58004219782,1.001,1.002
8/8/2024,1.14697E+11,67657578689,0.999978,1.001
8/7/2024,1.1445E+11,77801860523,0.999795,0.999978
8/6/2024,1.14274E+11,1.42008E+11,0.998338,0.999795
8/5/2024,1.14321E+11,31708905887,0.998332,0.998338
8/4/2024,1.14468E+11,42795668913,0.999529,0.998332
8/3/2024,1.14339E+11,53556320077,0.99865,0.999529
8/2/2024,1.14423E+11,52804343957,0.999207,0.99865
8/1/2024,1.14343E+11,46112131810,0.999927,0.999207
7/31/2024,1.1443E+11,25410424388,0.999692,0.999927
7/30/2024,1.14424E+11,57812247156,1,0.999692
7/29/2024,1.14437E+11,26841500105,1,1
7/28/2024,1.14323E+11,40127656218,1,1
7/27/2024,1.14301E+11,44904571679,1,1
7/26/2024,1.14381E+11,46497263779,0.999824,1
7/25/2024,1.14419E+11,46390952218,1,0.999824
7/24/2024,1.14269E+11,62065120317,1,1
7/23/2024,1.14112E+11,38644015908,1,1
7/22/2024,1.1404E+11,42649591758,1.001,1
7/21/2024,1.13925E+11,30224251986,1,1.001
7/20/2024,1.13747E+11,50719521972,1,1
7/19/2024,1.13573E+11,39289247477,0.999478,1
7/18/2024,1.13208E+11,47999369412,0.999842,0.999478
7/17/2024,1.13054E+11,42777376777,1.001,0.999842
7/16/2024,1.12632E+11,52254437490,1.001,1.001
7/15/2024,1.12494E+11,34298224466,0.9999,1.001
7/14/2024,1.12433E+11,24841806279,0.999768,0.9999
7/13/2024,1.12413E+11,23344084130,1,0.999768
7/12/2024,1.12438E+11,44417474762,1,1
7/11/2024,1.12278E+11,36615722884,0.999655,1
7/10/2024,1.12265E+11,41841228112,0.999603,0.999655
7/9/2024,1.12173E+11,55950042632,0.999762,0.999603
7/8/2024,1.12127E+11,35256610770,0.999859,0.999762
7/7/2024,1.12196E+11,35981770146,1.001,0.999859
7/6/2024,1.12326E+11,80934563649,1,1.001
7/5/2024,1.1252E+11,35681450036,0.999156,1
7/4/2024,1.12523E+11,44663234633,0.999139,0.999156
7/3/2024,1.12646E+11,29248876616,0.998667,0.999139
7/2/2024,1.12764E+11,36518090616,0.999032,0.998667
7/1/2024,1.12726E+11,13932169281,0.998506,0.999032
6/30/2024,1.12627E+11,19268600701,0.998366,0.998506
6/29/2024,1.12604E+11,33496485612,0.998131,0.998366
6/28/2024,1.12628E+11,37624552393,0.998727,0.998131
6/27/2024,1.12747E+11,34040109693,0.999178,0.998727
6/26/2024,1.12916E+11,44619218094,0.999919,0.999178
6/25/2024,1.12854E+11,66865912205,0.999829,0.999919
6/24/2024,1.12889E+11,19316307155,0.998949,0.999829
6/23/2024,1.1288E+11,19701704723,0.999506,0.998949
6/22/2024,1.12843E+11,43893406308,0.999555,0.999506
6/21/2024,1.12813E+11,44945960704,0.99905,0.999555
6/20/2024,1.12574E+11,39949863713,0.999938,0.99905
6/19/2024,1.12467E+11,65360908472,0.999917,0.999938
6/18/2024,1.12485E+11,48850734393,0.99963,0.999917
6/17/2024,1.12506E+11,23036741022,0.999263,0.99963
6/16/2024,1.12479E+11,16835750587,0.999372,0.999263
6/15/2024,1.12546E+11,33193204534,0.999367,0.999372
6/14/2024,1.12495E+11,48300315771,0.999079,0.999367
6/13/2024,1.12467E+11,52702741353,0.999637,0.999079
6/12/2024,1.12471E+11,62683374760,0.999707,0.999637
6/11/2024,1.12427E+11,26966249606,0.999722,0.999707
6/10/2024,1.12448E+11,25665577845,1,0.999722
6/9/2024,1.12446E+11,20697265280,0.999938,1
6/8/2024,1.12411E+11,46659462471,0.999594,0.999938
6/7/2024,1.12325E+11,34761441539,0.999556,0.999594
6/6/2024,1.12346E+11,39968732634,1.001,0.999556
6/5/2024,1.12282E+11,44222046309,1,1.001
6/4/2024,1.12142E+11,34904641166,0.999884,1
6/3/2024,1.12171E+11,31184782187,0.999345,0.999884
6/2/2024,1.12022E+11,20447879876,0.999377,0.999345
6/1/2024,1.11944E+11,41421075453,0.99921,0.999377
5/31/2024,1.1191E+11,43071993822,0.999521,0.99921
5/30/2024,1.1182E+11,40940344137,0.998923,0.999521
5/29/2024,1.11848E+11,43726991693,0.998849,0.998923
5/28/2024,1.11877E+11,43131933174,0.999258,0.998849
5/27/2024,1.11944E+11,19519736353,0.999768,0.999258
5/26/2024,1.1189E+11,13633970949,0.999877,0.999768
5/25/2024,1.11804E+11,50102108485,0.999534,0.999877
5/24/2024,1.11764E+11,49539468577,0.999865,0.999534
5/23/2024,1.11692E+11,55141101523,0.999778,0.999865
5/22/2024,1.1135E+11,78331340591,0.998887,0.999778
5/21/2024,1.11437E+11,90454416173,1,0.998887
5/20/2024,1.11418E+11,26754870639,0.999945,1
5/19/2024,1.1136E+11,21311994749,0.999662,0.999945
5/18/2024,1.11244E+11,33675697294,1.001,0.999662
5/17/2024,1.11196E+11,44753719414,0.999919,1.001
5/16/2024,1.11086E+11,52875951097,0.999596,0.999919
5/15/2024,1.10824E+11,24000203927,0.999496,0.999596
5/14/2024,1.10879E+11,28841941489,1,0.999496
5/13/2024,1.10786E+11,15718975274,0.99928,1
5/12/2024,1.10786E+11,22331143158,0.999643,0.99928
5/11/2024,1.10774E+11,43232517723,0.999834,0.999643
5/10/2024,1.10971E+11,34523524402,1,0.999834
5/9/2024,1.10897E+11,28949801718,0.99986,1
5/8/2024,1.10977E+11,37445037936,1,0.99986
5/7/2024,1.10901E+11,38219096944,0.999814,1
5/6/2024,1.10826E+11,30411518674,0.999572,0.999814
5/5/2024,1.10788E+11,18957049450,1,0.999572
5/4/2024,1.10689E+11,48469081256,0.999951,1
5/3/2024,1.10618E+11,25926124348,0.999972,0.999951
5/2/2024,1.10657E+11,72014939975,0.99875,0.999972
5/1/2024,1.10569E+11,56725470798,0.998694,0.99875
4/30/2024,1.10514E+11,38139636682,0.999344,0.998694
4/29/2024,1.10621E+11,27049406293,0.999881,0.999344
4/28/2024,1.1049E+11,29325493742,0.999629,0.999881
4/27/2024,1.10389E+11,26921184988,0.999696,0.999629
4/26/2024,1.10438E+11,47420610657,0.999821,0.999696
4/25/2024,1.10476E+11,52783767044,0.999718,0.999821
4/24/2024,1.10437E+11,21872524591,1,0.999718
4/23/2024,1.09892E+11,26382678234,0.999956,1
4/22/2024,1.09868E+11,25809474334,0.999954,0.999956
4/21/2024,1.09777E+11,24278502449,1,0.999954
4/20/2024,1.09819E+11,57599947917,1,1
4/19/2024,1.09084E+11,56879433654,1,1
4/18/2024,1.08719E+11,64643612660,0.999877,1
4/17/2024,1.08065E+11,43600477155,0.999818,0.999877
4/16/2024,1.07841E+11,46357690689,0.999864,0.999818
4/15/2024,1.07753E+11,84363863223,1.001,0.999864
4/14/2024,1.07379E+11,90389851308,1,1.001
4/13/2024,1.07393E+11,80166538393,1,1
4/12/2024,1.07325E+11,25331062835,1,1
4/11/2024,1.07166E+11,55382054612,1,1
4/10/2024,1.07125E+11,55857540725,0.999738,1
4/9/2024,1.07051E+11,60862356814,1,0.999738
4/8/2024,1.06909E+11,38338659632,0.999978,1
4/7/2024,1.06793E+11,35783595588,0.998835,0.999978
4/6/2024,1.06689E+11,49954604763,1,0.998835
4/5/2024,1.06233E+11,62902475052,1.001,1
4/4/2024,1.05332E+11,64481069878,1,1.001
4/3/2024,1.04666E+11,84936699965,1.001,1
4/2/2024,1.04466E+11,64352666543,1,1.001
4/1/2024,1.0451E+11,36322851084,1,1
3/31/2024,1.04538E+11,37962009692,1.001,1
3/30/2024,1.04553E+11,48111286830,1,1.001
3/29/2024,1.04366E+11,62807682821,0.999431,1
3/28/2024,1.04315E+11,70293091719,1.002,0.999431
3/27/2024,1.04171E+11,32023144155,1.001,1.002
3/26/2024,1.03791E+11,73628466066,0.999959,1.001
3/25/2024,1.04029E+11,46585435822,1,0.999959
3/24/2024,1.03995E+11,46429472885,0.999078,1
3/23/2024,1.04043E+11,72933877566,1.001,0.999078
3/22/2024,1.03925E+11,81040754455,1,1.001
3/21/2024,1.03706E+11,1.12832E+11,0.999601,1
3/20/2024,1.03787E+11,1.27109E+11,1,0.999601
3/19/2024,1.03358E+11,89526454900,0.999096,1
3/18/2024,1.03492E+11,81160449691,0.99983,0.999096
3/17/2024,1.02917E+11,89376623039,0.997259,0.99983
3/16/2024,1.03373E+11,1.30952E+11,0.999081,0.997259
3/15/2024,1.02931E+11,82077442846,0.999129,0.999081
3/14/2024,1.02758E+11,82976636818,1,0.999129
3/13/2024,1.02415E+11,86624770897,0.999875,1
3/12/2024,1.02036E+11,93723192011,0.99998,0.999875
3/11/2024,1.02298E+11,50306035320,1.002,0.99998
3/10/2024,1.01815E+11,46568927495,1.002,1.002
3/9/2024,1.01243E+11,98927999091,1.003,1.002
